,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,HOUSE_AGE
1111,Karapakkam,1694,61,2,2,4,AbNormal,No,Commercial,ELO,Paved,I,11405500,6570
1112,Chrompet,770,25,1,1,2,AbNormal,No,Commercial,NoSeWa,Gravel,RH,9876750,7665
1113,Velachery,1677,199,2,1,4,AdjLand,Yes,House,NoSeWa,Gravel,A,8859220,7665
1114,Adyar,790,200,1,1,2,Normal Sale,No,Commercial,NoSeWa,Gravel,I,9758035,10585
1115,Chrompet,1115,144,1,1,3,Family,Yes,House,ELO,Paved,RL,9005600,13140
1116,KK Nagar,1723,86,2,1,4,Family,No,House,AllPub,Paved,RL,9160860,8395
1117,Karapakkam,1013,164,1,1,3,AdjLand,No,Commercial,NoSeWa,No Access,RM,9511000,10220
1118,Karapakkam,1143,29,1,1,3,Partial,No,Others,NoSeWa,No Access,RL,5947125,17520
1119,KK Nagar,1676,172,2,1,4,Partial,Yes,Commercial,NoSeWa,Paved,RM,15244800,3650
1120,Adyar,960,166,1,1,3,Family,Yes,Others,ELO,Paved,I,8428090,9490
1121,T Nagar,1849,150,2,1,5,Partial,No,House,NoSeWa,Gravel,RM,13393470,7665
1122,Karapakkam,850,99,1,1,2,Partial,No,House,NoSeWa,Gravel,A,3874500,10950
1123,Chrompet,935,192,1,1,3,Partial,Yes,Commercial,NoSeWa,No Access,RL,11529500,8030
1124,Karapakkam,1247,185,1,1,3,AbNormal,Yes,Commercial,AllPub,Gravel,I,10758000,10220
1125,Karapakkam,1420,30,2,2,4,AbNormal,No,Others,NoSeWa,Gravel,RL,9082000,2190
1126,Chrompet,989,1,1,1,3,AdjLand,No,House,AllPub,Gravel,RL,9315900,2190
1127,Chrompet,1227,143,2,1,4,Normal Sale,Yes,House,NoSeWa,No Access,RH,8845600,5840
1128,Velachery,1626,102,2,1,4,Normal Sale,No,House,ELO,Paved,I,7257400,18250
1129,Chrompet,787,162,1,1,2,Partial,Yes,Commercial,NoSeWa,No Access,RM,10751700,10950
1130,Velachery,1576,46,2,1,4,AbNormal,Yes,House,NoSeWa,No Access,RH,8567240,11680
1131,Karapakkam,594,195,1,1,2,Family,No,House,AllPub,No Access,RM,5308500,15330
1132,Chrompet,991,105,1,1,3,AdjLand,No,House,NoSeWa,Paved,RM,8765000,11680
1133,Karapakkam,684,101,1,1,2,AdjLand,No,House,NoSeWa,Gravel,A,3916750,12045
1134,Velachery,1717,26,2,1,4,Normal Sale,No,House,NoSeWa,No Access,I,7369890,9855
1135,Adyar,1195,139,1,1,3,Partial,Yes,Others,NoSeWa,Gravel,C,9640575,1825
1136,Chrompet,951,73,1,1,3,Partial,No,Commercial,NoSeWa,Gravel,RH,11239600,2920
1137,Karapakkam,825,200,1,1,2,Normal Sale,Yes,House,ELO,No Access,RM,6778000,10950
1138,KK Nagar,2498,153,4,2,6,Partial,Yes,Commercial,NoSeWa,Paved,RL,19200260,8395
1139,Karapakkam,830,93,1,1,2,Partial,No,House,AllPub,No Access,I,4242000,7300
1140,Karapakkam,1459,155,2,2,4,AbNormal,Yes,Others,NoSeWa,Gravel,RM,10388375,12045
1141,Chrompet,820,16,1,1,3,AdjLand,No,House,AllPub,Gravel,RL,8254700,9490
1142,KK Nagar,2434,28,4,2,6,Partial,Yes,Others,NoSeWa,Gravel,RM,14361720,4380
1143,Karapakkam,1647,61,2,2,4,Family,Yes,House,NoSeWa,No Access,RM,9499000,5110
1144,Karapakkam,847,36,1,1,2,Family,Yes,House,NoSeWa,No Access,RM,6814000,10950
1145,Anna Nagar,1863,132,2,1,5,Partial,Yes,Others,AllPub,Paved,RM,15082700,10220
1146,Adyar,1080,171,1,1,3,Partial,Yes,Others,NoSeWa,Paved,RL,10546405,2555
1147,Chrompet,1292,6,2,1,4,Partial,No,House,ELO,Paved,RM,9746100,2190
1148,KK Nagar,1883,97,3,2,5,Family,Yes,Others,AllPub,Gravel,RH,11447860,10950
1149,Velachery,1748,76,2,1,4,Family,No,Others,ELO,No Access,RM,9516880,17885
1150,Karapakkam,1621,9,2,2,4,Normal Sale,No,Others,NoSeWa,Paved,I,7580125,13505
1151,KK Nagar,2061,64,3,2,5,Family,Yes,House,NoSeWa,Paved,RL,11373980,3285
1152,Velachery,1521,78,2,1,4,AdjLand,No,Commercial,NoSeWa,No Access,RL,12842120,9490
1153,Chrompet,839,71,1,1,3,Family,Yes,Commercial,AllPub,Gravel,RH,11650250,8395
1154,Chrompet,1296,170,2,1,4,AbNormal,No,House,NoSeWa,Gravel,RH,9576550,1825
1155,Chrompet,1027,4,1,1,3,Normal Sale,Yes,Others,ELO,No Access,RL,9265490,5110
1156,KK Nagar,1921,28,3,2,5,AdjLand,No,Others,AllPub,Paved,RL,11354960,6205
1157,Adyar,855,117,1,1,3,Normal Sale,Yes,House,ELO,Gravel,I,7815055,13505
1158,Velachery,1857,170,3,2,5,Partial,Yes,Others,ELO,No Access,RL,10188470,16790
1159,Chrompet,920,67,1,1,3,Normal Sale,Yes,Others,AllPub,Paved,RL,9211400,13140
1160,Velachery,1781,109,2,1,4,Normal Sale,No,Commercial,AllPub,No Access,C,12296550,18250
1161,Anna Nagar,1658,110,1,1,4,Partial,No,House,NoSeWa,No Access,RH,9615130,16060
1162,Karapakkam,1611,28,2,2,4,Normal Sale,Yes,Commercial,ELO,Paved,RL,12699000,16060
1163,KK Nagar,1339,26,2,1,4,AbNormal,Yes,Others,NoSeWa,Gravel,RM,11084700,2190
1164,Karapakkam,876,140,1,1,2,Family,Yes,Others,NoSeWa,Paved,RH,6763000,9490
1165,Velachery,1880,149,3,2,5,Normal Sale,No,Commercial,NoSeWa,No Access,RL,15074080,6935
1166,Karapakkam,1227,95,1,1,3,Normal Sale,Yes,House,NoSeWa,No Access,A,4969250,10585
1167,Chrompet,918,99,1,1,3,Normal Sale,No,Others,ELO,Paved,RM,8745660,10220
1168,Chrompet,750,78,1,1,2,Partial,Yes,Commercial,ELO,Paved,RL,10428000,8760
1169,Anna Nagar,1631,137,1,1,4,Family,No,House,NoSeWa,Paved,RH,10323980,16060
1170,Karapakkam,782,71,1,1,2,Family,No,House,NoSeWa,Gravel,I,4842750,16425
1171,Chrompet,1258,73,2,1,4,AdjLand,Yes,Others,NoSeWa,No Access,RM,11154910,9855
1172,T Nagar,1536,5,1,1,4,AdjLand,Yes,Others,AllPub,No Access,RH,12754890,2920
1173,Karapakkam,643,167,1,1,2,Normal Sale,No,Commercial,AllPub,No Access,RL,6501000,14600
1174,Adyar,919,111,1,1,3,Family,Yes,Others,AllPub,No Access,RH,8802735,3285
1175,Karapakkam,1180,81,1,1,3,Partial,No,Others,NoSeWa,Gravel,RM,8366750,6935
1176,Adyar,1167,15,1,1,3,AdjLand,No,Others,NoSeWa,No Access,RM,10474605,2555
1177,Velachery,1698,47,2,1,4,AbNormal,Yes,Others,AllPub,Paved,RH,10509330,12410
1178,Adyar,1051,38,1,1,3,AdjLand,No,Others,ELO,Gravel,C,8090620,10220
1179,Chrompet,881,79,1,1,3,AdjLand,No,Others,NoSeWa,Gravel,RH,8734920,1825
1180,Karapakkam,1042,82,1,1,3,AdjLand,Yes,House,ELO,Paved,I,6369250,14235
1181,Velachery,1954,24,3,2,5,Family,No,House,AllPub,Gravel,I,9484440,11680
1182,Adyar,919,147,1,1,3,AdjLand,No,House,NoSeWa,Gravel,RM,9310300,14600
1183,Karapakkam,1287,19,1,1,3,AdjLand,No,Commercial,NoSeWa,Paved,C,9260750,6205
1184,Anna Nagar,1793,90,1,1,4,Partial,Yes,House,NoSeWa,Paved,RL,13186280,3285
1185,KK Nagar,1814,159,3,2,5,Partial,Yes,Commercial,AllPub,Paved,RM,16271740,6205
1186,Velachery,1889,117,3,2,5,AbNormal,No,House,NoSeWa,No Access,C,7311370,13140
1187,Velachery,1642,80,2,1,4,Partial,No,Commercial,NoSeWa,No Access,I,11653680,16060
1188,Velachery,1910,28,3,2,5,AdjLand,No,Commercial,NoSeWa,Gravel,I,15831550,3650
1189,Chrompet,990,11,1,1,3,Partial,No,House,NoSeWa,No Access,RL,7302250,4015
1190,KK Nagar,1842,150,3,2,5,AbNormal,Yes,Others,NoSeWa,Paved,RM,11904740,9125
1191,Karapakkam,825,50,1,1,2,Partial,No,Commercial,NoSeWa,Gravel,RM,9305750,6205
1192,Chrompet,802,157,1,1,3,Normal Sale,Yes,House,AllPub,Paved,RL,8657100,3650
1193,Karapakkam,858,160,1,1,2,Normal Sale,No,Others,AllPub,Gravel,C,5601750,4380
1194,KK Nagar,1499,130,2,1,4,Normal Sale,Yes,Others,NoSeWa,Paved,RH,9789220,8030
1195,Anna Nagar,1828,26,2,1,5,Partial,Yes,Commercial,AllPub,No Access,RM,20581330,14235
1196,Chrompet,717,100,1,1,2,Family,Yes,House,NoSeWa,Gravel,RH,7725200,8760
1197,Karapakkam,504,133,1,1,2,Family,No,Others,AllPub,Gravel,RM,7019000,2920
1198,Anna Nagar,1823,11,2,1,5,Partial,Yes,House,ELO,Gravel,RL,13410030,8760
1199,KK Nagar,1721,33,2,1,4,Normal Sale,Yes,House,AllPub,Paved,RL,10199400,10950
1200,T Nagar,1734,28,1,1,4,AbNormal,No,Commercial,NoSeWa,Paved,RL,18918950,16425
1201,Chrompet,787,147,1,1,2,Partial,Yes,Commercial,ELO,Gravel,RM,11703450,11315
1202,Chrompet,1265,30,2,1,4,AdjLand,No,House,ELO,Gravel,RL,9735200,8760
1203,Velachery,1967,142,3,2,5,AbNormal,No,House,AllPub,Paved,RM,10826810,12045
1204,Chrompet,1008,148,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Paved,RH,12894500,3650
1205,Chrompet,1120,166,1,1,3,Partial,Yes,Commercial,ELO,No Access,RM,13208750,13505
1206,Anna Nagar,1952,53,2,1,5,AdjLand,Yes,Commercial,AllPub,No Access,RH,21026890,15330
1207,Karapakkam,1100,199,1,1,3,AdjLand,No,Others,NoSeWa,Gravel,A,5438750,17155
1208,Adyar,1098,18,1,1,3,Partial,Yes,House,AllPub,Gravel,RM,10556410,12410
1209,KK Nagar,1470,3,2,1,4,AbNormal,No,House,NoSeWa,Gravel,RL,9163340,6205
1210,Chrompet,970,152,1,1,3,Partial,Yes,House,ELO,No Access,RH,7463750,6205
1211,KK Nagar,1432,111,2,1,4,AdjLand,Yes,Others,NoSeWa,Gravel,RM,11489580,9855
1212,Karapakkam,790,119,1,1,2,AdjLand,No,Commercial,AllPub,Paved,A,6102500,6570
1213,Chrompet,1149,52,1,1,3,AdjLand,No,Commercial,AllPub,Paved,RL,13734350,1825
1214,Chrompet,762,154,1,1,2,AbNormal,No,House,NoSeWa,Paved,RL,7037100,9490
1215,Chrompet,847,6,1,1,3,Family,Yes,House,AllPub,Paved,RM,8931450,12775
1216,Velachery,1954,131,3,2,5,Normal Sale,Yes,House,AllPub,Gravel,C,10151490,9855
1217,KK Nagar,2232,172,4,2,6,Normal Sale,Yes,Others,NoSeWa,Gravel,RM,14074260,4015
1218,Anna Nagar,1587,37,1,1,4,Family,Yes,Commercial,AllPub,No Access,RH,17529450,14600
1219,T Nagar,1891,100,2,1,5,Family,Yes,Commercial,AllPub,Paved,RH,21327550,5475
1220,KK Nagar,1916,193,3,2,5,Family,No,Others,AllPub,Gravel,RH,10655980,8395
1221,Velachery,1622,62,2,1,4,Partial,Yes,Others,NoSeWa,Paved,RL,10581870,7665
1222,Velachery,1812,41,3,2,5,AbNormal,No,Commercial,AllPub,Paved,RH,15074740,2555
1223,Adyar,1010,121,1,1,3,Partial,Yes,Others,NoSeWa,No Access,RM,9817500,7300
1224,T Nagar,1526,80,1,1,4,Normal Sale,Yes,Commercial,AllPub,No Access,RH,17673370,5840
1225,Chrompet,775,34,1,1,2,Normal Sale,No,House,NoSeWa,Gravel,RH,6603250,14235
1226,Karapakkam,1239,78,1,1,3,Family,Yes,Others,AllPub,No Access,A,5947625,5110
1227,Anna Nagar,1538,94,1,1,4,AbNormal,No,House,NoSeWa,No Access,RH,9593040,13505
1228,Anna Nagar,1853,142,2,1,5,Normal Sale,No,Commercial,ELO,Paved,RM,20525170,13140
1229,Velachery,1536,37,2,1,4,Family,Yes,Commercial,ELO,No Access,RH,12946730,10585
1230,KK Nagar,2241,10,4,2,6,Family,Yes,House,AllPub,Paved,RM,12561300,9125
1231,Velachery,1709,153,2,1,4,Partial,Yes,House,NoSeWa,Paved,C,8133770,13140
1232,Chrompet,1282,137,2,1,4,Partial,No,Commercial,NoSeWa,Gravel,RM,15195200,2920
1233,Karapakkam,1319,55,1,1,3,Normal Sale,No,House,NoSeWa,No Access,C,4746500,14600
1234,Adyar,994,14,1,1,3,Normal Sale,Yes,House,NoSeWa,Gravel,RM,10381895,12045
1235,Chrompet,782,192,1,1,2,Partial,No,Others,AllPub,Paved,RL,7344340,11680
1236,KK Nagar,2235,21,4,2,6,AdjLand,No,Commercial,NoSeWa,Paved,RM,18201340,6205
1237,Adyar,650,159,1,1,2,AdjLand,Yes,House,NoSeWa,Paved,RM,9080015,7665
1238,Anna Nagar,1677,55,1,1,4,Family,No,House,AllPub,Paved,RH,10617090,15330
1239,Adyar,684,82,1,1,2,Family,No,Others,NoSeWa,Paved,A,4575925,12775
1240,Chrompet,1128,41,1,1,3,Partial,Yes,House,AllPub,No Access,RM,9805150,3285
1241,KK Nagar,1360,157,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RH,12623360,6570
1242,Chrompet,895,193,1,1,3,AbNormal,Yes,Others,NoSeWa,Gravel,RL,9533400,8395
1243,Chrompet,1227,104,2,1,4,Normal Sale,Yes,Others,ELO,Paved,RL,10499240,11315
1244,T Nagar,1720,187,1,1,4,Family,No,House,NoSeWa,Paved,RH,11440690,2555
1245,Karapakkam,1003,42,1,1,3,AdjLand,No,House,ELO,Paved,RL,7064250,4745
1246,KK Nagar,2114,106,3,2,5,AbNormal,No,Commercial,NoSeWa,Gravel,RL,16929800,7300
1247,Chrompet,973,155,1,1,3,AdjLand,Yes,House,NoSeWa,Paved,RH,8457350,10585
1248,Velachery,1655,139,2,1,4,AdjLand,Yes,House,NoSeWa,Paved,C,8725740,11680
1249,Adyar,910,141,1,1,3,Normal Sale,No,House,NoSeWa,Gravel,C,6513570,13870
1250,Adyar,840,97,1,1,3,Normal Sale,Yes,House,NoSeWa,No Access,RM,8572425,12775
1251,KK Nagar,1835,194,3,2,5,Family,No,Commercial,NoSeWa,Paved,RM,15493260,4745
1252,Chrompet,1001,1,1,1,3,AdjLand,No,Others,AllPub,Gravel,RL,9724320,4745
1253,Anna Nagar,1646,94,1,1,4,AbNormal,Yes,Commercial,AllPub,Paved,RM,20519100,3650
1254,Chrompet,907,38,1,1,3,AdjLand,No,Others,ELO,Gravel,RL,8947040,9855
1255,Adyar,809,171,1,1,3,Partial,Yes,Others,ELO,Paved,RL,9043635,3285
1256,Chrompet,1278,99,2,1,4,Normal Sale,No,Commercial,AllPub,Gravel,RL,14597300,9490
1257,Chrompet,1051,66,1,1,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,9310120,6935
1258,Adyar,1054,59,1,1,3,Normal Sale,No,Others,NoSeWa,No Access,I,7740080,4380
1259,Karapakkam,971,161,1,1,3,AdjLand,Yes,Commercial,AllPub,Paved,C,8878250,4015
1260,KK Nagar,1956,103,3,2,5,Normal Sale,No,Commercial,AllPub,Gravel,RM,16677180,10585
1261,Anna Nagar,1921,106,2,1,5,AdjLand,Yes,Others,NoSeWa,No Access,RL,14301080,14600
1262,Karapakkam,947,102,1,1,3,AbNormal,Yes,Others,NoSeWa,Gravel,A,5523875,17155
1263,Velachery,1514,67,2,1,4,Normal Sale,Yes,Others,AllPub,No Access,C,7932350,14600
1264,Karapakkam,1125,176,1,1,3,AbNormal,No,Commercial,ELO,No Access,RH,8072750,14965
1265,Karapakkam,1394,60,2,2,4,AdjLand,Yes,House,AllPub,No Access,I,6962250,15695
1266,Karapakkam,1609,60,2,2,4,Family,No,Commercial,AllPub,Paved,RM,12977000,7300
1267,T Nagar,1916,166,2,1,5,Partial,No,House,ELO,Gravel,RL,13174940,2555
1268,Chrompet,1015,24,1,1,3,Normal Sale,No,House,NoSeWa,No Access,RL,7742000,2920
1269,Chrompet,835,124,1,1,3,Partial,No,Others,NoSeWa,Paved,RH,6996450,10950
1270,Anna Nagar,1617,128,1,1,4,Normal Sale,No,House,AllPub,No Access,RM,11367820,13140
1271,T Nagar,1901,75,2,1,5,Normal Sale,No,House,NoSeWa,Gravel,RM,14001530,6935
1272,Anna Nagar,1548,81,1,1,4,Partial,Yes,Commercial,ELO,Paved,RM,18598580,14235
1273,Anna Nagar,1660,50,1,1,4,Family,Yes,House,NoSeWa,No Access,RL,11618510,12045
1274,Karapakkam,890,163,1,1,3,AdjLand,Yes,Others,ELO,Gravel,C,6715750,5840
1275,Chrompet,956,134,1,1,3,Family,Yes,Commercial,AllPub,Paved,RH,11844950,10585
1276,Velachery,1841,37,3,2,5,AdjLand,Yes,House,AllPub,Gravel,RL,11492190,17155
1277,Chrompet,1280,185,2,1,4,Family,No,Commercial,NoSeWa,No Access,RM,14153850,2555
1278,Anna Nagar,1636,66,1,1,4,Family,Yes,Others,NoSeWa,No Access,RM,13483830,7300
1279,KK Nagar,2204,126,3,2,5,Normal Sale,Yes,Others,NoSeWa,Paved,RH,12257060,3285
1280,Karapakkam,1203,199,1,1,3,Normal Sale,Yes,Others,AllPub,No Access,A,6016875,4015
1281,Chrompet,1122,33,1,1,3,AdjLand,No,House,ELO,Paved,RH,8015800,8760
1282,Anna Nagar,1574,78,1,1,4,Partial,No,House,ELO,Gravel,RL,11003670,11315
1283,KK Nagar,1374,172,2,1,4,Normal Sale,No,House,AllPub,Gravel,RM,9741520,5840
1284,Velachery,1746,163,2,1,4,Normal Sale,Yes,Commercial,ELO,Paved,C,13626420,13140
1285,Karapakkam,1370,193,2,2,4,Family,Yes,House,ELO,Gravel,I,7633500,10950
1286,Karapakkam,1362,27,2,2,4,AbNormal,No,House,NoSeWa,Gravel,C,5878000,17520
1287,Anna Nagar,1897,148,2,1,5,Normal Sale,No,Commercial,NoSeWa,Gravel,RH,20738440,6205
1288,Chrompet,1020,80,1,1,3,Normal Sale,No,House,NoSeWa,Paved,RL,8000250,12775
1289,Chrompet,897,79,1,1,3,AdjLand,Yes,House,AllPub,No Access,RM,8897050,12775
1290,Adyar,1023,198,1,1,3,Family,No,Commercial,AllPub,Gravel,I,12114895,4745
1291,Karapakkam,1344,100,2,2,4,Partial,Yes,Others,NoSeWa,Paved,RM,9341250,14235
1292,Anna Nagar,1689,96,1,1,4,AdjLand,Yes,Commercial,NoSeWa,Gravel,RL,20514620,11315
1293,Velachery,1764,28,2,1,4,AdjLand,No,Commercial,AllPub,No Access,RM,14687760,19345
1294,KK Nagar,1820,84,3,2,5,Normal Sale,Yes,House,AllPub,Paved,RL,11095100,1825
1295,Chrompet,987,39,1,1,3,Normal Sale,Yes,House,AllPub,Gravel,RM,10646600,1460
1296,T Nagar,1688,171,1,1,4,Partial,Yes,House,NoSeWa,No Access,RM,12872810,2920
1297,Anna Nagar,1908,164,2,1,5,AdjLand,No,House,AllPub,No Access,RH,12114050,7300
1298,Chrompet,1078,54,1,1,3,AdjLand,Yes,House,NoSeWa,Paved,RL,9348350,13505
1299,Karapakkam,1637,100,2,2,4,AbNormal,Yes,House,ELO,Paved,RM,9407500,16060
1300,Adyar,1019,87,1,1,3,AbNormal,Yes,House,NoSeWa,Paved,RH,8963715,7665
1301,Chrompet,1198,7,1,1,3,Partial,Yes,Commercial,ELO,No Access,RL,13163050,11315
1302,Chrompet,1002,45,1,1,3,Normal Sale,Yes,Commercial,NoSeWa,Gravel,RH,12654700,9490
1303,Karapakkam,1088,176,1,1,3,Family,No,Commercial,ELO,Gravel,I,8482500,13870
1304,Anna Nagar,1703,101,1,1,4,Normal Sale,Yes,Commercial,AllPub,Gravel,RM,20989850,14600
1305,Chrompet,946,190,1,1,3,AbNormal,Yes,House,NoSeWa,Paved,RH,8275800,5840
1306,Velachery,1983,6,3,2,5,Partial,No,Commercial,ELO,Paved,A,13291100,14600
1307,Karapakkam,1112,190,1,1,3,AbNormal,No,Commercial,NoSeWa,Paved,RM,9928250,17155
1308,Adyar,700,134,1,1,2,Family,Yes,House,NoSeWa,Paved,RH,7609525,5475
1309,Anna Nagar,1956,133,2,1,5,Normal Sale,Yes,Others,AllPub,No Access,RL,15178120,2555
1310,KK Nagar,1666,175,2,1,4,AdjLand,No,Others,NoSeWa,Paved,RL,10105060,9855
1311,Velachery,1959,73,3,2,5,Partial,No,House,AllPub,Paved,RM,10225280,17885
1312,Chrompet,1276,92,2,1,4,Partial,Yes,Others,NoSeWa,No Access,RL,10309370,5475
1313,Chrompet,1079,171,1,1,3,Partial,Yes,House,ELO,Paved,RH,8463200,5840
1314,KK Nagar,2357,151,4,2,6,Partial,Yes,Others,AllPub,Gravel,RH,12871060,9490
1315,Anna Nagar,1988,134,2,1,5,Family,No,Others,NoSeWa,Gravel,RL,14774770,6935
1316,Karapakkam,1257,35,1,1,3,Partial,Yes,Others,AllPub,Paved,RH,8172125,8395
1317,Velachery,1827,182,3,2,5,AdjLand,No,Commercial,ELO,Paved,RH,14818680,10585
1318,T Nagar,1661,51,1,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RM,20450950,5475
1319,Karapakkam,939,35,1,1,3,Family,No,Commercial,ELO,Paved,RM,9149000,10220
1320,Velachery,1607,45,2,1,4,AdjLand,Yes,Commercial,NoSeWa,No Access,A,12499040,2555
1321,KK Nagar,1829,50,3,2,5,AdjLand,No,Others,AllPub,Paved,RH,10272980,10950
1322,Chrompet,806,11,1,1,3,Family,No,House,NoSeWa,Gravel,RM,8636400,4380
1323,Chrompet,784,162,1,1,2,AdjLand,No,House,AllPub,Paved,RL,7499900,9490
1324,Velachery,1540,36,2,1,4,Partial,Yes,Commercial,AllPub,Gravel,A,12647660,6570
1325,Anna Nagar,1794,62,1,1,4,AdjLand,No,Commercial,NoSeWa,Paved,RM,20838230,5110
1326,KK Nagar,1875,22,3,2,5,Partial,No,House,AllPub,Paved,RH,9329120,2190
1327,KK Nagar,1494,35,2,1,4,Partial,No,House,NoSeWa,Gravel,RL,9120360,2920
1328,T Nagar,1921,134,2,1,5,Family,Yes,Commercial,NoSeWa,Paved,RH,21050860,10220
1329,Adyar,603,188,1,1,2,Family,No,House,NoSeWa,Gravel,I,6185335,3285
1330,KK Nagar,1479,192,2,1,4,Partial,No,Others,AllPub,Paved,RH,8400920,9855
1331,Anna Nagar,1574,128,1,1,4,Partial,No,House,NoSeWa,Gravel,RM,11855940,11680
1332,Chrompet,730,4,1,1,2,AbNormal,Yes,Others,ELO,Paved,RM,8972600,6570
1333,KK Nagar,2450,197,4,2,6,Normal Sale,No,House,NoSeWa,Gravel,RM,12506600,10950
1334,KK Nagar,1379,83,2,1,4,AbNormal,No,Others,NoSeWa,Gravel,RM,10209760,6935
1335,T Nagar,1621,101,1,1,4,AbNormal,No,Others,AllPub,Paved,RM,12899530,16425
1336,Karapakkam,617,74,1,1,2,Partial,No,Others,NoSeWa,No Access,A,2476375,9490
1337,Karapakkam,508,115,1,1,2,Family,Yes,House,NoSeWa,Gravel,I,5679000,5840
1338,Karapakkam,1485,120,2,2,4,AbNormal,Yes,House,ELO,No Access,RL,8020500,11680
1339,Karapakkam,804,46,1,1,2,Normal Sale,No,Commercial,NoSeWa,No Access,RM,8396250,2555
1340,Chrompet,917,147,1,1,3,Partial,No,House,ELO,No Access,RL,7110600,2920
1341,Anna Nagar,1729,80,1,1,4,AdjLand,No,Others,NoSeWa,Gravel,RM,14158860,13505
1342,Chrompet,1102,89,1,1,3,Normal Sale,Yes,Commercial,NoSeWa,Gravel,RM,14510950,10585
1343,Velachery,1826,67,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Paved,RL,16595470,11315
1344,Velachery,1864,46,3,2,5,Normal Sale,Yes,Commercial,NoSeWa,Gravel,RH,15913570,18615
1345,Velachery,1776,196,2,1,4,Partial,No,Others,AllPub,Paved,RM,10423510,17520
1346,Chrompet,1091,184,1,1,3,AbNormal,No,Commercial,ELO,No Access,RM,12690600,2920
1347,Adyar,712,118,1,1,2,Family,Yes,Commercial,NoSeWa,Paved,RH,10606765,4015
1348,Chrompet,795,16,1,1,2,Family,Yes,Commercial,NoSeWa,Gravel,RM,12313350,6205
1349,Chrompet,922,80,1,1,3,AdjLand,Yes,Commercial,NoSeWa,Paved,RM,13289900,8030
1350,Karapakkam,1473,80,2,2,4,Partial,Yes,House,NoSeWa,Paved,RH,8352000,3650
1351,Karapakkam,1699,10,2,2,4,Normal Sale,Yes,Commercial,ELO,No Access,C,11423750,3285
1352,Chrompet,1026,5,1,1,3,AdjLand,No,Others,ELO,Gravel,RM,10120070,6935
1353,Anna Nagar,1570,68,1,1,4,AbNormal,No,Others,NoSeWa,No Access,RH,10738110,12045
1354,KK Nagar,1479,199,2,1,4,Family,No,House,AllPub,Gravel,RH,8495640,8030
1355,KK Nagar,2380,20,4,2,6,Normal Sale,No,Others,NoSeWa,Gravel,RH,12341040,8030
1356,Chrompet,704,52,1,1,2,Partial,No,House,AllPub,Gravel,RH,6248450,14235
1357,KK Nagar,1325,139,1,1,3,Normal Sale,Yes,House,NoSeWa,Paved,RH,8477500,9125
1358,Velachery,1558,49,2,1,4,Family,No,Commercial,AllPub,Paved,RH,12564350,20075
1359,Chrompet,1133,64,1,1,3,Partial,Yes,Others,AllPub,No Access,RH,9304960,1825
1360,KK Nagar,1866,86,3,2,5,AdjLand,No,House,AllPub,Gravel,RL,10822220,7665
1361,Adyar,936,106,1,1,3,Normal Sale,Yes,Others,ELO,Paved,RH,9038260,8760
1362,Velachery,1657,187,2,1,4,Normal Sale,No,Commercial,AllPub,No Access,A,10849950,18250
1363,Chrompet,904,36,1,1,3,Family,No,Others,AllPub,No Access,RM,8452080,4380
1364,Chrompet,924,183,1,1,3,AdjLand,Yes,Commercial,ELO,Gravel,RM,13485100,10950
1365,KK Nagar,2031,74,3,2,5,AdjLand,Yes,Others,NoSeWa,Paved,RH,11878140,5840
1366,Velachery,1945,63,3,2,5,Family,Yes,House,ELO,Gravel,RH,10961920,5840
1367,Chrompet,1297,170,2,1,4,Family,No,House,NoSeWa,Gravel,RM,10088450,14235
1368,KK Nagar,2179,132,3,2,5,AbNormal,Yes,Commercial,AllPub,Paved,RL,17858980,10585
1369,Chrompet,996,191,1,1,3,Family,Yes,House,ELO,Gravel,RL,9135400,10220
1370,Chrompet,969,176,1,1,3,Family,No,Others,NoSeWa,Paved,RM,8646380,14235
1371,Velachery,1506,180,2,1,4,AdjLand,No,Others,NoSeWa,Gravel,C,8576110,8395
1372,Chrompet,1095,52,1,1,3,Partial,No,House,AllPub,Gravel,RH,8367250,6935
1373,KK Nagar,1329,44,1,1,3,AbNormal,Yes,Others,AllPub,Paved,RL,9840760,6935
1374,Karapakkam,1130,130,1,1,3,Partial,Yes,Others,NoSeWa,Gravel,RH,8461500,1825
1375,Karapakkam,1299,141,1,1,3,Normal Sale,No,Commercial,AllPub,Paved,RL,10651250,12775
1376,Karapakkam,514,79,1,1,2,AdjLand,No,House,AllPub,No Access,C,3093500,13870
1377,KK Nagar,1738,178,2,1,4,AdjLand,No,House,AllPub,Gravel,RL,10646500,1825
1378,T Nagar,1782,168,1,1,4,Family,No,House,NoSeWa,Gravel,RH,12105050,7300
1379,Karapakkam,749,132,1,1,2,AbNormal,Yes,House,NoSeWa,No Access,RH,5325000,16790
1380,Chrompet,1267,5,2,1,4,Partial,Yes,House,NoSeWa,No Access,RL,9396600,8760
